family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
U_SIGNED_VOL,1,FUT,3888,0.964747953119435,6,78.36022549398506,-38.149392588413626,0,-35.42874502470757,-34.4167043326974,-39.682261219661186,-40.38061058414822,-38.01788726255071,-40.970147106716695
U_SIGNED_VOL,2,EQ,2592,0.964674860263408,6,85.45173348301229,-34.159503615502786,0,-30.6480467988501,-30.627805316068663,-34.23222159530364,-36.11103129653152,-35.813443533909656,-37.52447315235313
R_RSI,5,EQ,3456,0.9627934503727902,6,98.34645188904618,-34.305023276059785,0,-32.22610818883546,-29.43453210185212,-36.08849574888859,-35.6314854891675,-34.94962404071141,-37.49989408690363
U_OBV,2,EQ,432,0.9620778600787765,6,61.66371466409046,-26.916521586065937,0,-24.55215481007092,-25.49543904990192,-26.66036794650802,-27.737904541584538,-28.19583936422576,-28.857423804104446
R_BB_LIMIT,1,FUT,2916,0.9615406490161021,6,74.2540330790347,-51.110154430260415,0,-47.61750735144076,-42.48192992581263,-56.577755674918784,-53.66193746741165,-50.9845436392464,-55.33725252273229
R_MA_DEV,1,EQ,1944,0.9602276194226321,6,112.22341532363781,-58.480067840531454,0,-53.40865691694997,-50.70500553671223,-59.183484579959014,-61.14071092241679,-61.135569576171044,-65.30697951097967
T_HMA,1,FUT,1620,0.9599182363604997,6,80.08494680527735,-32.07760376996911,0,-29.123023671531826,-30.02624634806099,-33.13274505110474,-34.04603805946216,-31.472708412490608,-34.664861077164346
R_BB_LIMIT,2,EQ,1944,0.9597147162723311,6,70.8725569897638,-43.15707934499428,0,-36.311561259072526,-34.82364317065719,-44.59812998385552,-46.45612152825935,-44.34566492478749,-52.407355203333594
M_ACCEL,2,EQ,864,0.9594335335777844,6,68.2367023066289,-49.14062209232247,0,-50.44321132670763,-44.722347942687335,-46.47730135960892,-49.11199472296667,-51.59071861180012,-52.498158590164074
T_HMA,2,EQ,1080,0.9593614954135666,6,78.2300209952883,-28.109343454222877,0,-26.99739240384907,-26.124397299643196,-27.2347613913501,-29.169008193741355,-29.409870726621225,-29.72063071013231
V_NR_BREAK,3,EQ,648,0.9578276132144921,6,69.47634117561199,-25.12717817952938,0,-22.099334588721412,-23.72651579075861,-25.106030239370373,-26.99313884131594,-25.630348723208865,-27.207700893801082
M_ROC_VOTE,1,EQ,1728,0.9577570981463874,6,76.84507773893202,-52.488006484626446,0,-53.06062010358006,-49.19708833794699,-49.36729185653562,-51.7435498914081,-55.219969345660814,-56.33951937262706
U_OBV,1,FUT,648,0.9570862467028389,6,69.37381335913865,-30.91996475028301,0,-28.099417949466744,-29.736190529255037,-32.1377233567126,-31.860468288824443,-30.15647066278775,-33.52951771465149
U_BAR_PRESSURE,2,EQ,864,0.9552381099425508,6,80.95787301229682,-40.83346141213466,0,-40.86916890250448,-40.21499702948836,-36.64974658752581,-41.52624863233553,-44.63563207838123,-41.10497524257254
T_DONCH_STOP,1,FUT,1620,0.9548643783788541,6,71.30105693380662,-38.60617953839022,0,-34.27416782354527,-37.66948695500257,-39.75368118922364,-40.992343122473784,-37.2712212364415,-41.67617690365458
T_ADX,1,EQ,1296,0.9541106155536895,6,63.23782536048983,-42.41041031675143,0,-38.34936882204229,-38.61611282142486,-44.093408870137665,-45.65305648581291,-43.10206116009084,-44.64845374100002
R_BB,1,FUT,5184,0.9538924355379982,6,78.17315932532354,-39.12617599077655,0,-36.43333850994274,-33.46659027183335,-42.854021975551916,-41.08054010685722,-38.89945533899677,-42.023109741477334
T_SUPERTREND,2,EQ,1944,0.9533566372159727,6,52.27793533491195,-25.02157545574507,0,-22.58508281456478,-24.217685295837146,-24.748852970624842,-26.26866939972105,-25.84251919483347,-26.46664305888912
T_EMA_X,1,EQ,3672,0.9531411972948471,6,62.29792992003987,-26.12292588319843,0,-26.255531906813005,-24.19221841727072,-25.209007730330175,-26.100056428005075,-28.170365904749737,-26.810374912021874
V_NR_BREAK,1,FUT,972,0.9528334707237519,6,83.2310137014626,-35.86832740902878,0,-32.09887370827474,-31.946193944450524,-37.77586080059607,-38.59206089466092,-35.73052990214201,-39.066445204048435
M_TSMOM,1,FUT,5832,0.9486198332735364,6,68.68490719256693,-25.1457355470164,0,-22.611451762035053,-24.257730799673514,-25.91771772566662,-26.567195771254234,-24.86354757756549,-26.656769645903495
T_DONCH,1,FUT,1620,0.9474731183749799,6,61.43037633279966,-35.61584726002085,0,-31.943279287406128,-34.12981170482353,-37.29994743020478,-37.15866475902502,-34.376385865318845,-38.786994513346805
T_PRICE_MA,1,FUT,3240,0.9467725184199353,6,61.013620797216,-42.37371852969323,0,-38.39322758323344,-41.26590145872853,-43.26297068689131,-44.42585981881226,-42.034158298639746,-44.86019333185411
